timestamp,ch4_pct_lel,temperature_c,error_code,rssi,snr
2026-08-28T20:15:12,ch4_pct_lel,temperature_c,error_code,rssi,snr
2026-08-28T20:19:01,0.00,25.50,0,-109,8.50
2026-08-28T20:19:03,0.00,25.60,0,-110,8.25
2026-08-28T20:19:04,0.00,25.60,0,-110,8.00
2026-08-28T20:19:05,0.00,25.60,0,-109,8.00
2026-08-28T20:19:06,0.00,25.70,0,-108,8.75
2026-08-28T20:19:07,0.00,25.70,0,-108,8.75
2026-08-28T20:19:08,0.00,25.70,0,-108,8.75
2026-08-28T20:19:09,0.00,25.80,0,-108,8.75
2026-08-28T20:19:10,0.00,25.80,0,-109,8.75
2026-08-28T20:19:11,0.00,25.80,0,-108,8.50
2026-08-28T20:19:12,0.00,25.80,0,-106,8.75
2026-08-28T20:19:13,0.00,25.90,0,-107,8.75
2026-08-28T20:19:15,0.00,25.90,0,-104,8.75
2026-08-28T20:19:16,0.00,25.90,0,-100,9.75
2026-08-28T20:19:17,0.00,26.00,0,-100,9.00
2026-08-28T20:19:18,0.00,26.00,0,-98,8.75
2026-08-28T20:19:19,0.00,26.00,0,-100,9.00
2026-08-28T20:19:20,0.00,26.00,0,-98,9.00
2026-08-28T20:19:21,0.00,26.00,0,-97,9.25
2026-08-28T20:19:22,0.00,26.10,0,-95,9.25
2026-08-28T20:19:23,0.00,26.10,0,-93,8.75
2026-08-28T20:19:24,0.00,26.10,0,-95,9.25
2026-08-28T20:19:25,0.00,26.10,0,-100,8.75
2026-08-28T20:19:27,0.00,26.20,0,-97,8.75
2026-08-28T20:19:28,0.00,26.20,0,-96,9.75
2026-08-28T20:19:29,0.00,26.20,0,-101,9.00
2026-08-28T20:19:30,0.00,26.30,0,-94,9.50
2026-08-28T20:19:31,0.00,26.30,0,-97,9.25
2026-08-28T20:19:32,0.00,26.30,0,-96,9.00
2026-08-28T20:19:33,0.00,26.30,0,-96,9.25
2026-08-28T20:19:34,0.00,26.40,0,-97,9.25
2026-08-28T20:19:35,0.00,26.40,0,-97,9.00
2026-08-28T20:19:36,0.00,26.40,0,-97,9.00
2026-08-28T20:19:38,0.00,26.40,0,-96,9.00
2026-08-28T20:19:39,0.00,26.50,0,-95,9.25
2026-08-28T20:19:40,0.00,26.50,0,-94,9.25
2026-08-28T20:19:41,0.00,26.50,0,-94,9.00
2026-08-28T20:19:42,0.00,26.60,0,-95,9.25
2026-08-28T20:19:43,0.00,26.60,0,-94,9.00
2026-08-28T20:19:44,0.00,26.60,0,-95,9.00
2026-08-28T20:19:45,0.00,26.60,0,-95,9.25
2026-08-28T20:19:46,0.00,26.60,0,-95,9.00
2026-08-28T20:19:47,0.00,26.70,0,-95,9.00
2026-08-28T20:19:48,0.00,26.70,0,-95,8.75
2026-08-28T20:19:50,0.00,26.70,0,-92,9.25
2026-08-28T20:19:51,0.00,26.70,0,-95,9.00
2026-08-28T20:19:52,0.00,26.80,0,-97,9.25
2026-08-28T20:19:53,0.00,26.80,0,-119,2.75
2026-08-28T20:19:54,0.00,26.80,0,-105,9.00
2026-08-28T20:19:55,0.00,26.80,0,-102,9.25
2026-08-28T20:19:56,0.00,26.90,0,-105,9.00
2026-08-28T20:19:57,0.00,26.90,0,-104,8.75
2026-08-28T20:19:58,0.00,26.90,0,-104,9.00
2026-08-28T20:19:59,0.00,27.00,0,-104,8.75
2026-08-28T20:20:00,0.00,27.00,0,-104,9.00
2026-08-28T20:20:02,0.00,27.10,0,-104,9.25
2026-08-28T20:20:03,0.00,27.10,0,-104,8.75
2026-08-28T20:20:04,0.00,27.10,0,-104,8.75
2026-08-28T20:20:05,0.00,27.20,0,-104,9.25
2026-08-28T20:20:06,0.00,27.20,0,-104,9.00
2026-08-28T20:20:07,0.00,27.30,0,-104,8.75
2026-08-28T20:20:08,0.00,27.30,0,-104,9.00
2026-08-28T20:20:09,0.00,27.30,0,-104,9.25
2026-08-28T20:20:10,0.00,27.40,0,-104,9.00
2026-08-28T20:20:11,0.00,27.40,0,-104,8.75
2026-08-28T20:20:12,0.00,27.50,0,-104,9.00
2026-08-28T20:20:14,0.00,27.60,0,-107,9.25
2026-08-28T20:20:15,0.00,27.60,0,-112,8.00
2026-08-28T20:20:16,0.00,27.60,0,-112,7.75
2026-08-28T20:20:17,0.00,27.70,0,-109,8.25
2026-08-28T20:20:18,0.00,27.70,0,-110,8.25
2026-08-28T20:20:19,0.00,27.80,0,-114,7.00
2026-08-28T20:20:20,0.00,27.80,0,-118,4.50
2026-08-28T20:20:21,0.00,27.80,0,-121,0.25
2026-08-28T20:20:22,0.00,27.90,0,-119,3.50
2026-08-28T20:20:23,0.00,27.90,0,-113,7.75
2026-08-28T20:20:25,0.00,27.90,0,-114,7.50
2026-08-28T20:20:26,0.00,28.00,0,-121,-0.50
2026-08-28T20:20:27,0.00,28.10,0,-120,1.25
2026-08-28T20:20:28,0.00,28.10,0,-123,-6.50
2026-08-28T20:20:29,0.00,28.20,0,-124,-9.50
2026-08-28T20:20:30,0.00,28.20,0,-123,-2.50
2026-08-28T20:20:31,0.00,28.20,0,-118,3.50
2026-08-28T20:20:32,0.00,28.30,0,-113,7.50
2026-08-28T20:20:33,0.00,28.30,0,-116,6.75
2026-08-28T20:20:34,0.00,28.30,0,-110,8.50
2026-08-28T20:20:35,0.00,28.30,0,-108,9.00
2026-08-28T20:20:37,0.00,28.40,0,-108,9.00
2026-08-28T20:20:38,0.00,28.40,0,-108,8.25
