timestamp,board_id,pressure_hpa,sht_temp_c,sht_humidity_pct,inir_a0_voltage,inir_ch4_analog_pctvol,inir_ch4_digital_pctvol,inir_temp_c,battery_voltage,rssi,snr,sample
2026-09-15T09:13:05,1,1028.09,21.38,52.26,0.982,-21.41,0.3650,24.9,3.80,-59,10.00,
2026-09-15T09:13:06,1,1028.13,21.41,52.31,0.966,-22.70,0.3190,24.9,3.75,-60,9.75,
2026-09-15T09:13:07,1,1028.06,21.45,52.08,0.953,-23.73,0.2750,24.9,3.80,-59,10.25,
2026-09-15T09:13:08,1,1028.06,21.47,51.75,0.952,-23.86,0.2380,24.9,3.80,-59,10.00,
2026-09-15T09:13:10,1,1028.17,21.52,51.96,0.934,-25.28,0.2040,24.9,3.77,-60,9.25,
2026-09-15T09:13:11,1,1028.06,21.56,51.84,0.920,-26.38,0.1770,24.9,3.80,-59,10.00,
2026-09-15T09:13:12,1,1028.10,21.58,51.98,0.915,-26.83,0.1520,24.9,3.77,-59,9.50,
2026-09-15T09:13:14,1,1028.12,21.62,51.33,0.901,-27.92,0.1110,24.9,3.77,-60,9.75,
2026-09-15T09:13:15,1,1027.99,21.67,50.92,0.888,-28.96,0.0790,24.9,3.80,-59,10.50,
2026-09-15T09:13:16,1,1028.04,21.68,50.55,0.887,-29.02,0.0680,24.9,3.77,-60,9.50,
2026-09-15T09:13:17,1,1028.09,21.69,49.90,0.876,-29.92,0.0600,24.9,3.80,-59,10.00,
2026-09-15T09:13:19,1,1027.96,21.73,49.40,0.862,-31.02,0.0530,24.9,3.77,-60,9.50,
2026-09-15T09:13:20,1,1028.05,21.78,49.37,0.859,-31.28,0.0470,24.9,3.80,-59,9.75,
2026-09-15T09:13:21,1,1027.99,21.78,49.65,0.854,-31.66,0.0430,24.9,3.77,-60,9.75,
2026-09-15T09:13:22,1,1028.10,21.82,49.94,0.845,-32.44,0.0390,24.9,3.80,-60,10.25,
2026-09-15T09:13:23,1,1028.09,21.84,50.06,0.832,-33.47,0.0360,24.9,3.77,-60,10.00,
2026-09-15T09:13:24,1,1028.16,21.87,50.07,0.836,-33.08,0.0300,24.9,3.80,-60,10.00,
2026-09-15T09:13:25,1,1028.00,21.89,49.97,0.824,-34.11,0.0280,24.9,3.77,-63,9.50,
2026-09-15T09:13:26,1,1027.99,21.93,49.90,0.810,-35.21,0.0270,24.9,3.80,-65,10.00,
2026-09-15T09:13:28,1,1028.12,21.95,49.64,0.806,-35.53,0.0260,24.9,3.77,-59,9.50,
2026-09-15T09:13:29,1,1028.00,21.98,49.47,0.804,-35.66,0.0240,24.9,3.80,-60,10.75,
2026-09-15T09:13:30,1,1027.96,21.99,49.56,0.790,-36.82,0.0240,24.9,3.77,-64,9.50,
2026-09-15T09:13:37,1,1039.01,22.14,48.61,0.752,-39.85,0.0220,24.9,3.76,-61,9.25,
2026-09-15T09:13:38,1,1028.07,22.15,48.45,0.737,-41.08,0.0210,24.9,3.80,-60,10.00,
2026-09-15T09:13:39,1,1028.05,22.15,48.32,0.734,-41.27,0.0210,24.9,3.76,-60,9.75,
2026-09-15T09:13:40,1,1028.04,22.20,47.86,0.734,-41.27,0.0210,24.9,3.80,-64,9.25,
2026-09-15T09:13:41,1,1028.14,22.23,47.55,0.724,-42.11,0.0210,24.9,3.76,-64,9.75,
2026-09-15T09:13:42,1,1027.98,22.23,47.48,0.712,-43.07,0.0200,24.9,3.79,-64,9.50,
2026-09-15T09:13:43,1,1028.08,22.26,47.38,0.714,-42.88,0.0210,24.9,3.80,-63,9.50,
2026-09-15T09:13:44,1,1028.10,22.28,47.34,0.701,-43.91,0.0210,24.9,3.77,-64,9.25,
2026-09-15T09:13:45,1,1028.01,22.29,47.07,0.691,-44.75,0.0210,24.9,3.80,-64,9.75,
