timestamp,board_id,pressure_hpa,sht_temp_c,sht_humidity_pct,inir_a0_voltage,inir_ch4_analog_pctvol,inir_ch4_digital_pctvol,inir_temp_c,battery_voltage,rssi,snr,sample
2026-09-17T10:27:46,1,1021.85,21.34,100.00,1.625,30.03,29.5430,25.9,3.58,-60,9.75,
2026-09-17T10:27:47,1,1021.82,21.35,100.00,1.626,30.10,29.5300,25.9,3.64,-60,9.75,
2026-09-17T10:27:48,1,1021.95,21.35,100.00,1.627,30.16,29.5110,25.9,3.59,-61,9.75,
2026-09-17T10:27:49,1,1021.82,21.35,100.00,1.621,29.71,29.4870,25.9,3.64,-60,9.75,
2026-09-17T10:27:50,1,1021.90,21.36,100.00,1.625,29.97,29.4810,25.9,3.58,-60,10.00,
2026-09-17T10:27:52,1,1022.01,21.37,100.00,1.625,30.03,29.4730,25.9,3.64,-60,10.00,
2026-09-17T10:27:53,1,1021.97,21.34,100.00,1.625,29.97,29.4640,25.9,3.59,-62,9.75,
2026-09-17T10:27:54,1,1021.81,21.33,100.00,1.622,29.78,29.4530,25.9,3.63,-58,10.25,
2026-09-17T10:27:55,1,1021.79,21.34,100.00,1.627,30.16,29.4590,25.9,3.58,-58,10.00,
2026-09-17T10:27:56,1,1021.90,21.37,100.00,1.621,29.71,29.4640,25.9,3.64,-58,10.00,
2026-09-17T10:27:57,1,1021.76,21.35,100.00,1.626,30.10,29.4810,25.9,3.59,-62,10.00,
2026-09-17T10:27:58,1,1021.79,21.33,100.00,1.636,30.87,29.4800,25.9,3.63,-61,9.75,
2026-09-17T10:27:59,1,1021.90,21.33,100.00,1.628,30.23,29.4840,25.9,3.58,-64,10.00,
2026-09-17T10:28:01,1,1021.87,21.34,100.00,1.622,29.78,29.4960,25.9,3.63,-66,9.50,
2026-09-17T10:28:02,1,1021.91,21.34,100.00,1.628,30.23,29.5090,25.9,3.58,-66,10.25,
2026-09-17T10:28:03,1,1021.84,21.35,100.00,1.625,30.03,29.5060,25.9,3.63,-70,9.50,
2026-09-17T10:28:04,1,1022.01,21.34,100.00,1.627,30.16,29.5170,25.9,3.58,-64,9.75,
2026-09-17T10:28:05,1,1021.80,21.35,100.00,1.625,30.03,29.5090,25.9,3.63,-65,9.75,
2026-09-17T10:28:06,1,1021.87,21.33,100.00,1.625,30.03,29.5240,25.9,3.57,-64,9.50,
2026-09-17T10:28:07,1,1021.90,21.32,100.00,1.625,29.97,29.5200,25.9,3.64,-72,9.50,
2026-09-17T10:28:08,1,1021.87,21.31,100.00,1.627,30.16,29.5270,25.9,3.57,-57,10.00,
2026-09-17T10:28:10,1,1021.99,21.34,100.00,1.624,29.90,29.5360,25.9,3.64,-58,10.25,
2026-09-17T10:28:11,1,1021.89,21.33,100.00,1.626,30.10,29.5340,25.9,3.64,-58,9.75,
2026-09-17T10:28:12,1,1021.85,21.32,100.00,1.626,30.10,29.5460,25.9,3.59,-58,9.25,
2026-09-17T10:28:13,1,1021.88,21.32,100.00,1.626,30.10,29.5610,25.9,3.63,-58,9.50,
2026-09-17T10:28:14,1,1021.71,21.32,100.00,1.625,29.97,29.5610,25.9,3.59,-60,9.75,
2026-09-17T10:28:15,1,1021.86,21.33,100.00,1.628,30.23,29.5740,25.9,3.64,-57,10.50,
2026-09-17T10:28:16,1,1021.83,21.30,100.00,1.626,30.10,29.5700,25.9,3.59,-58,10.00,
2026-09-17T10:28:17,1,1021.74,21.30,100.00,1.626,30.10,29.5760,25.9,3.64,-61,10.25,
2026-09-17T10:28:19,1,1021.96,21.31,100.00,1.642,31.32,29.5890,25.9,3.59,-66,10.00,
2026-09-17T10:28:20,1,1021.89,21.31,100.00,1.621,29.71,29.5920,25.9,3.63,-72,10.00,
2026-09-17T10:28:29,1,1021.96,21.09,89.70,1.904,52.34,27.0040,25.9,3.63,-55,9.75,
2026-09-17T10:28:30,1,1022.00,21.05,87.78,1.345,7.60,25.8970,25.9,3.61,-59,10.00,
2026-09-17T10:28:31,1,1021.85,21.09,85.84,1.118,-10.58,23.4930,25.9,3.65,-55,9.75,
2026-09-17T10:28:32,1,1021.93,21.07,84.46,1.200,-4.01,22.0510,25.9,3.61,-54,9.25,
2026-09-17T10:28:33,1,1021.82,21.12,83.32,1.269,1.54,20.4790,25.9,3.64,-55,9.50,
2026-09-17T10:28:34,1,1021.86,21.11,83.03,1.328,6.24,18.8420,25.9,3.61,-57,9.75,
2026-09-17T10:28:35,1,1021.84,21.08,82.92,1.385,10.82,17.1720,25.9,3.65,-57,10.00,
2026-09-17T10:28:36,1,1021.86,21.08,81.71,1.428,14.24,15.5080,25.9,3.61,-57,9.75,
2026-09-17T10:28:38,1,1021.85,21.09,80.68,1.480,18.43,13.8580,25.9,3.64,-58,9.75,
2026-09-17T10:28:39,1,1021.79,21.08,80.03,1.515,21.20,12.2500,25.9,3.61,-60,9.50,
2026-09-17T10:28:40,1,1021.86,21.11,79.19,1.541,23.26,9.2420,25.9,3.65,-59,9.75,
